"Year","species_name","latin_name","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1995","Gullkarfi","Sebastes norvegicus","0.16","0.75","2.85","16","4.32","1.89","4.17","6.96","6.96","1.86","0.9","0.41","1.02","1.02","0.38","0.57","1.04","0.51","0.47","0.25","0.28","0.5","0","0.15"
"1996","Gullkarfi","Sebastes norvegicus","0","0.84","1.68","6.75","16","3.35","1.96","2.21","5.27","5.84","1.33","0.39","0.25","0.43","1.01","0.62","0.81","0","0","0","0","0","0","0"
"1997","Gullkarfi","Sebastes norvegicus","0.06","0.51","0.81","1.77","4.51","17","3.97","1.76","3.64","3.81","3.24","0.86","0.55","0.76","0.42","0.48","0.55","0.46","0.6","0.23","0.1","0.12","0.1","0.31"
"1998","Gullkarfi","Sebastes norvegicus","0.07","0.68","1.21","2.28","1.98","5.13","18","2.73","2.41","2.53","3.4","1.99","0.91","0.64","0.45","0.34","0.32","0.6","0.39","0.29","0.35","0.29","0.04","0.3"
"1999","Gullkarfi","Sebastes norvegicus","0.02","0.83","3.61","2.27","3.32","3.93","3.49","22","1.64","1.46","1.88","2.64","2.22","1.15","0.4","0.2","0.28","0.23","0.57","0.22","0.45","0.22","0.09","0.58"
"2000","Gullkarfi","Sebastes norvegicus","0.12","0.2","1.87","8.46","3.4","3.67","2.45","3.07","19","2.01","1.38","1.6","2.37","2.06","0.5","0.47","0.25","0.06","0.32","0.26","0.12","0.44","0.3","0.81"
"2001","Gullkarfi","Sebastes norvegicus","0.33","0.36","0.87","3.34","14","2.98","2.99","1.82","1.07","14","0.62","0.87","1.08","1.57","0.91","0.39","0.36","0.1","0.1","0.08","0.2","0.14","0.14","0.71"
"2002","Gullkarfi","Sebastes norvegicus","0.26","2.04","1.57","1.51","5.72","18","4.59","3.55","2.33","3.61","14","2.41","1.25","0.63","1.26","0.95","0.59","0.25","0.25","0.16","0.08","0.25","0.33","0.96"
"2003","Gullkarfi","Sebastes norvegicus","0.6","0.59","2.81","2.2","2.1","6.66","16","3.5","2.72","1.59","2.69","7.9","0.94","0.43","0.57","0.79","0.79","0.36","0.27","0.07","0.06","0.03","0.09","0.57"
"2004","Gullkarfi","Sebastes norvegicus","0.69","1.88","1.03","3.96","1.46","1.6","3.21","13","2.98","2.17","1.03","1.53","5.47","1.22","0.35","0.49","0.56","0.52","0.19","0.08","0.15","0.1","0.11","0.53"
"2005","Gullkarfi","Sebastes norvegicus","0.73","1.98","4.19","3.03","5.52","3.25","2.25","4.51","17","2.72","1.82","1.44","1.46","7","0.48","0.48","0.67","0.55","0.43","0.1","0.19","0.13","0.02","1.14"
"2006","Gullkarfi","Sebastes norvegicus","0.4","2.25","4.21","6.67","3.41","4.41","2.33","1.8","3.83","13","2.42","1.28","0.74","1.01","5.39","0.49","0.22","0.39","0.42","0.11","0.2","0.17","0.15","0.72"
"2007","Gullkarfi","Sebastes norvegicus","0.35","1.07","3.49","4.43","5.62","3.02","4.4","1.43","1.28","2.72","11","1.51","0.83","0.78","0.9","4.85","0.72","0.13","0.51","0.29","0.35","0.19","0.03","0.85"
"2008","Gullkarfi","Sebastes norvegicus","0.66","2.58","4.48","9.15","6.91","7.49","3.35","3.64","2.08","1.33","2.29","9.82","1.7","0.9","0.67","0.84","4.33","0.37","0.24","0.41","0.36","0.17","0.14","0.68"
